Implied vol summary (mean ± std per voucher per day)

 day  tte  voucher    K  mean_iv   std_iv  n
   0    8 VEV_4000 4000 0.800574 0.151495  2
   0    8 VEV_4500 4500 0.434455 0.057866  5
   0    8 VEV_5000 5000 0.232873 0.006956 20
   0    8 VEV_5100 5100 0.236524 0.003720 20
   0    8 VEV_5200 5200 0.232002 0.003816 20
   0    8 VEV_5300 5300 0.232297 0.004144 20
   0    8 VEV_5400 5400 0.222510 0.009580 20
   0    8 VEV_5500 5500 0.238246 0.002572 20
   1    7 VEV_4000 4000 0.809017 0.138274  3
   1    7 VEV_4500 4500 0.459012 0.049758  6
   1    7 VEV_5000 5000 0.233229 0.007712 20
   1    7 VEV_5100 5100 0.229568 0.007890 20
   1    7 VEV_5200 5200 0.235799 0.006062 20
   1    7 VEV_5300 5300 0.238869 0.003359 20
   1    7 VEV_5400 5400 0.221342 0.006644 20
   1    7 VEV_5500 5500 0.241575 0.007169 20
   2    6 VEV_4000 4000 0.785754 0.011506  4
   2    6 VEV_4500 4500 0.470720 0.007030  4
   2    6 VEV_5000 5000 0.231781 0.008795 20
   2    6 VEV_5100 5100 0.226183 0.006788 20
   2    6 VEV_5200 5200 0.232952 0.007857 20
   2    6 VEV_5300 5300 0.237390 0.007308 20
   2    6 VEV_5400 5400 0.220916 0.005163 20
   2    6 VEV_5500 5500 0.241315 0.007079 20
