Intrinsic vs Time-Value Summary (per day)

 Day  TTE Voucher         K    mean_C  mean_intr   mean_TV   %TV>0
───────────────────────────────────────────────────────────────────────────
   0    8 VEV_4000     4000   1246.52    1246.51      0.01    9.8%
   0    8 VEV_4500     4500    746.52     746.51      0.01   30.1%
   0    8 VEV_5000     5000    253.26     246.51      6.75  100.0%
   0    8 VEV_5100     5100    168.11     146.51     21.60  100.0%
   0    8 VEV_5200     5200     97.47      46.51     50.96  100.0%
   0    8 VEV_5300     5300     48.89       0.00     48.89  100.0%
   0    8 VEV_5400     5400     18.47       0.00     18.47  100.0%
   0    8 VEV_5500     5500      8.06       0.00      8.06  100.0%
   0    8 VEV_6000     6000      0.50       0.00      0.50  100.0%
   0    8 VEV_6500     6500      0.50       0.00      0.50  100.0%

   1    7 VEV_4000     4000   1248.41    1248.39      0.02   10.0%
   1    7 VEV_4500     4500    748.41     748.39      0.01   30.4%
   1    7 VEV_5000     5000    253.26     248.39      4.87  100.0%
   1    7 VEV_5100     5100    164.98     148.39     16.59  100.0%
   1    7 VEV_5200     5200     95.13      48.39     46.74  100.0%
   1    7 VEV_5300     5300     46.91       0.00     46.91  100.0%
   1    7 VEV_5400     5400     15.65       0.00     15.65  100.0%
   1    7 VEV_5500     5500      6.57       0.00      6.57  100.0%
   1    7 VEV_6000     6000      0.50       0.00      0.50  100.0%
   1    7 VEV_6500     6500      0.50       0.00      0.50  100.0%

   2    6 VEV_4000     4000   1255.40    1255.39      0.01   10.1%
   2    6 VEV_4500     4500    755.40     755.39      0.01   27.7%
   2    6 VEV_5000     5000    258.54     255.39      3.15   99.8%
   2    6 VEV_5100     5100    167.33     155.39     11.93  100.0%
   2    6 VEV_5200     5200     94.05      55.39     38.65  100.0%
   2    6 VEV_5300     5300     44.48       0.00     44.48  100.0%
   2    6 VEV_5400     5400     13.73       0.00     13.73  100.0%
   2    6 VEV_5500     5500      5.29       0.00      5.29  100.0%
   2    6 VEV_6000     6000      0.50       0.00      0.50  100.0%
   2    6 VEV_6500     6500      0.50       0.00      0.50  100.0%

