elapsed,day_idx,timestamp,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
0.0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
0.0001,0,100,0,72,0,0,0,0,0,0,0,0,0,0
0.0002,0,200,0,107,0,0,0,0,0,0,0,0,0,0
0.0003,0,300,0,148,0,0,0,0,0,0,0,0,0,0
0.0004,0,400,0,184,0,0,0,0,0,0,0,0,0,0
0.0005,0,500,0,200,0,0,0,0,0,0,0,0,0,0
0.0006,0,600,0,200,0,0,0,0,0,0,0,0,0,0
0.0007,0,700,0,200,0,0,0,0,0,0,0,0,0,0
0.0008,0,800,0,200,0,0,0,0,0,0,0,0,0,0
0.0009,0,900,0,200,0,0,0,0,0,0,0,0,0,0
0.001,0,1000,0,200,0,0,0,0,0,0,0,0,0,0
0.0011,0,1100,0,200,0,0,0,0,0,0,0,0,0,0
0.0012,0,1200,0,200,0,0,0,0,0,0,0,0,0,0
0.0013,0,1300,0,200,0,0,0,0,0,0,0,0,0,0
0.0014,0,1400,0,200,0,0,0,0,0,0,0,0,0,0
0.0015,0,1500,0,200,0,0,0,0,0,0,0,0,0,0
0.0016,0,1600,0,200,0,0,0,0,0,0,0,0,0,0
0.0017,0,1700,0,200,0,0,0,0,0,0,0,0,0,0
0.0018,0,1800,0,200,0,0,0,0,0,0,0,0,0,0
0.0019,0,1900,0,200,0,0,0,0,0,0,0,0,0,0
0.002,0,2000,0,200,0,0,0,0,0,0,0,0,0,0
0.0021,0,2100,0,200,0,0,0,0,0,0,0,0,0,0
0.0022,0,2200,0,200,0,0,0,0,0,0,0,0,0,0
0.0023,0,2300,0,200,0,0,0,0,0,0,0,0,0,0
0.0024,0,2400,0,200,0,0,0,0,0,0,0,0,0,0
0.0025,0,2500,0,200,0,0,0,0,0,0,0,0,0,0
0.0026,0,2600,0,200,0,0,0,0,0,0,0,0,0,0
0.0027,0,2700,0,200,0,0,0,0,0,0,0,0,0,0
0.0028,0,2800,0,200,0,0,0,0,0,0,0,0,0,0
0.0029,0,2900,0,200,0,0,0,0,0,0,0,0,0,0
0.003,0,3000,0,200,0,0,0,0,0,0,0,0,0,0
0.0031,0,3100,0,200,0,0,0,0,0,0,0,0,0,0
0.0032,0,3200,0,200,0,0,0,0,0,0,0,0,0,0
0.0033,0,3300,0,200,0,0,0,0,0,0,0,0,0,0
0.0034,0,3400,0,200,0,0,0,0,0,0,0,0,0,0
0.0035,0,3500,0,200,0,0,0,0,0,0,0,0,0,0
0.0036,0,3600,0,200,0,0,0,0,0,0,0,0,0,0
0.0037,0,3700,0,200,0,0,0,0,0,0,0,0,0,0
0.0038,0,3800,0,200,0,0,0,0,0,0,0,0,0,0
0.0039,0,3900,0,200,0,0,0,0,0,0,0,0,0,0
0.004,0,4000,0,200,0,0,0,0,0,0,0,0,0,0
0.0041,0,4100,0,200,0,0,0,0,0,0,0,0,0,0
0.0042,0,4200,0,200,0,0,0,0,0,0,0,0,0,0
0.0043,0,4300,0,200,0,0,0,0,0,0,0,0,0,0
0.0044,0,4400,0,200,0,0,0,0,0,0,0,0,0,0
0.0045,0,4500,0,200,0,0,0,0,0,0,0,0,0,0
0.0046,0,4600,0,200,0,0,0,0,0,0,0,0,0,0
0.0047,0,4700,0,200,0,0,0,0,0,0,0,0,0,0
0.0048,0,4800,0,200,0,0,0,0,0,0,0,0,0,0
0.0049,0,4900,0,200,0,0,0,0,0,0,0,0,0,0
0.005,0,5000,0,200,0,0,0,0,0,0,0,0,0,0
0.0051,0,5100,0,200,0,0,0,0,0,0,0,0,0,0
0.0052,0,5200,0,200,0,0,0,0,0,0,0,0,0,0
0.0053,0,5300,0,200,0,0,0,0,0,0,0,0,0,0
0.0054,0,5400,0,200,0,0,0,0,0,0,0,0,0,0
0.0055,0,5500,0,200,0,0,0,0,0,0,0,0,0,0
0.0056,0,5600,0,200,0,0,0,0,0,0,0,0,0,0
0.0057,0,5700,0,200,0,0,0,0,0,0,0,0,0,0
0.0058,0,5800,0,200,0,0,0,0,0,0,0,0,0,0
0.0059,0,5900,0,200,0,0,0,0,0,0,0,0,0,0
0.006,0,6000,0,200,0,0,0,0,0,0,0,0,0,0
0.0061,0,6100,0,200,0,0,0,0,0,0,0,0,0,0
0.0062,0,6200,0,200,0,0,0,0,0,0,0,0,0,0
0.0063,0,6300,0,200,0,0,0,0,0,0,0,0,0,0
0.0064,0,6400,0,200,0,0,0,0,0,0,0,0,0,0
0.0065,0,6500,0,200,0,0,0,0,0,0,0,0,0,0
0.0066,0,6600,0,200,0,0,0,0,0,0,0,0,0,0
0.0067,0,6700,0,200,0,0,0,0,0,0,0,0,0,0
0.0068,0,6800,0,200,0,0,0,0,0,0,0,0,0,0
0.0069,0,6900,0,200,0,0,0,0,0,0,0,0,0,0
0.007,0,7000,0,200,0,0,0,0,0,0,0,0,0,0
0.0071,0,7100,0,200,0,0,0,0,0,0,0,0,0,0
0.0072,0,7200,0,200,0,0,0,0,0,0,0,0,0,0
0.0073,0,7300,0,200,0,0,0,0,0,0,0,0,0,0
0.0074,0,7400,0,200,0,0,0,0,0,0,0,0,0,0
0.0075,0,7500,0,200,0,0,0,0,0,0,0,0,0,0
0.0076,0,7600,0,200,0,0,0,0,0,0,0,0,0,0
0.0077,0,7700,0,200,0,0,0,0,0,0,0,0,0,0
0.0078,0,7800,0,200,0,0,0,0,0,0,0,0,0,0
0.0079,0,7900,0,200,0,0,0,0,0,0,0,0,0,0
0.008,0,8000,0,200,0,0,0,0,0,0,0,0,0,0
0.0081,0,8100,0,200,0,0,0,0,0,0,0,0,0,0
0.0082,0,8200,0,200,0,0,0,0,0,0,0,0,0,0
0.0083,0,8300,0,200,0,0,0,0,0,0,0,0,0,0
0.0084,0,8400,0,200,0,0,0,0,0,0,0,0,0,0
0.0085,0,8500,0,200,0,0,0,0,0,0,0,0,0,0
0.0086,0,8600,0,200,0,0,0,0,0,0,0,0,0,0
0.0087,0,8700,0,200,0,0,0,0,0,0,0,0,0,0
